學年度,縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,男學生數,女學生數,原住民學生比率,上學年男畢業生數,上學年女畢業生數
111,[01]新北市,三峽區,國小,014630,市立插角國小,公立,偏遠,[237]新北市三峽區插角里插角路39號,(02)26720230,http://www.cgps.ntpc.edu.tw,6,64,27,0,0,0
111,[01]新北市,三峽區,國小,014631,市立有木國小,公立,偏遠,[237]新北市三峽區有木里131號,(02)26720067,http://www.ymps.ntpc.edu.tw,6,46,40,5.81,6,13
111,[01]新北市,三峽區,國小,014632,市立五寮國小,公立,偏遠,[237]新北市三峽區五寮里69號,(02)26720298,http://www.wres.ntpc.edu.tw,6,42,32,1.35,7,5
111,[01]新北市,萬里區,國小,014658,市立萬里國小,公立,偏遠,[207]新北市萬里區瑪鋉路18號,(02)24922034,http://www.wlps.ntpc.edu.tw,13,138,125,6.84,22,20
111,[01]新北市,萬里區,國小,014659,市立野柳國小,公立,偏遠,[207]新北市萬里區野柳里港東路167號,(02)24922512,http://www.ylps.ntpc.edu.tw,6,35,39,0,2,5
111,[01]新北市,萬里區,國小,014660,市立大鵬國小,公立,偏遠,[207]新北市萬里區大鵬里加投路14號,(02)24988131,http://www.tpes.ntpc.edu.tw,6,33,20,0,5,2
111,[01]新北市,萬里區,國小,014661,市立大坪國小,公立,特偏,[207]新北市萬里區雙興里大坪路1號,(02)24929461,http://www.dpps.ntpc.edu.tw,6,17,15,0,3,8
111,[01]新北市,萬里區,國小,014662,市立崁腳國小,公立,偏遠,[207]新北市萬里區崁脚里崁脚路59號,(02)24922037,http://www.kjps.ntpc.edu.tw,6,22,9,16.13,0,0
111,[01]新北市,金山區,國小,014663,市立金山國小,公立,偏遠,[208]新北市金山區中山路234號,(02)24981125,http://www.tpcses.ntpc.edu.tw,19,201,197,1.76,38,34
111,[01]新北市,金山區,國小,014664,市立中角國小,公立,偏遠,[208]新北市金山區萬壽里海興路49號,(02)24982413,http://www.jjps.ntpc.edu.tw,6,31,30,4.92,7,4
111,[01]新北市,金山區,國小,014665,市立三和國小,公立,偏遠,[208]新北市金山區重和里11鄰六股林口38號,(02)24080417,http://www.sanho.ntpc.edu.tw,6,52,41,0,3,4
111,[01]新北市,石碇區,國小,014677,市立石碇國小,公立,偏遠,[223]新北市石碇區石碇里石碇西街15號,(02)26631244,http://www.stes.ntpc.edu.tw,6,13,21,5.88,1,1
111,[01]新北市,石碇區,國小,014678,市立和平國小,公立,偏遠,[223]新北市石碇區靜安路一段5號,(02)26631405,http://www.hpps.ntpc.edu.tw,6,45,47,1.09,8,6
